description,price,rank,link,other_name,g3d_mark,name
,,112,http://www.videocardbenchmark.net/gpu.php?gpu=Sapphire+RADEON+X800+GT&id=1874,"Sapphire RADEON X800 GT, Sapphire RADEON X800 GT Secondary",NA,Sapphire RADEON X800 GT
,,54,http://www.videocardbenchmark.net/gpu.php?gpu=SAPPHIRE+Radeon+X1550&id=1864,"SAPPHIRE Radeon X1550, SAPPHIRE Radeon X1550 Secondary",NA,SAPPHIRE Radeon X1550
,,47,http://www.videocardbenchmark.net/gpu.php?gpu=SAPPHIRE+RADEON+9600+ATLANTIS&id=1859,SAPPHIRE RADEON 9600 ATLANTIS,NA,SAPPHIRE RADEON 9600 ATLANTIS
,,1,http://www.videocardbenchmark.net/gpu.php?gpu=S3+ProSavageDDR&id=1835,S3 Graphics ProSavageDDR,NA,S3 ProSavageDDR
,,39,http://www.videocardbenchmark.net/gpu.php?gpu=S3+Chrome+430+ULP&id=1828,S3 Graphics Chrome 430 ULP,NA,S3 Chrome 430 ULP
,,113,http://www.videocardbenchmark.net/gpu.php?gpu=RV530+PRO&id=1820,RV530 PRO,NA,RV530 PRO
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=RIVA+TNT2%2FTNT2+Pro&id=1667,NVIDIA RIVA TNT2/TNT2 Pro,NA,RIVA TNT2/TNT2 Pro
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=RIVA+TNT2+Model+64%2FModel+64+Pro&id=1665,NVIDIA RIVA TNT2 Model 64/Model 64 Pro,NA,RIVA TNT2 Model 64/Model 64 Pro
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=Rage+Fury+Pro%2FXpert+2000+Pro&id=1797,Rage Fury Pro/Xpert 2000 Pro,NA,Rage Fury Pro/Xpert 2000 Pro
,,20,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+XPRESS+200M&id=628,ATI RADEON XPRESS 200M,NA,RADEON XPRESS 200M
,,26,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1270&id=626,ATI Radeon Xpress 1270,NA,Radeon Xpress 1270
,,29,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+XPRESS+200&id=627,"ATI RADEON XPRESS 200, MSI RADEON XPRESS 200 Series",NA,RADEON XPRESS 200
,,41,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1250&id=104,"ATI Radeon Xpress 1250, Radeon Xpress 1250",NA,Radeon Xpress 1250
,,33,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1200&id=625,ATI Radeon Xpress 1200,NA,Radeon Xpress 1200
,,29,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1150&id=624,"ATI Radeon Xpress 1150, ATI Radeon Xpress 1150 Secondary, Radeon Xpress 1150 (Omega 3.8.442)",NA,Radeon Xpress 1150
,,32,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1100&id=622,ATI Radeon Xpress 1100,NA,Radeon Xpress 1100
"Bus Interface: PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 540 MHz, Memory Clock(s): 1180 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,79,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X850+XT+Platinum+Edition&id=621,"ATI RADEON X850 XT Platinum Edition, RADEON X850 XT Platinum Edition, RADEON X850 XT Platinum Edition Secondary",NA,RADEON X850 XT Platinum Edition
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 520 MHz, Memory Clock(s): 1080 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,81,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X850+XT&id=1784,"ATI RADEON X850 XT, RADEON X850 XT, RADEON X850 XT Secondary",NA,RADEON X850 XT
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 507 MHz, Memory Clock(s): 1040 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,72,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X850+PRO&id=620,"ATI RADEON X850 PRO, RADEON X850 PRO",NA,RADEON X850 PRO
,,80,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800GT&id=1782,"RADEON X800GT, RADEON X800GT Secondary",NA,RADEON X800GT
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 500 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,97,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+XT&id=81,"RADEON X800 XT, RADEON X800 XT Secondary",NA,RADEON X800 XT
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,67,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+XL&id=619,"ATI RADEON X800 XL, RADEON X800 XL",NA,RADEON X800 XL
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,73,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+PRO%2FGTO&id=1779,"RADEON X800 PRO/GTO, Radeon X800 PRO/GTO (Omega 3.8.442), RADEON X800 PRO/GTO Secondary",NA,RADEON X800 PRO/GTO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 475 MHz, Memory Clock(s): 900 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,60,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+PRO&id=1778,"RADEON X800 PRO, RADEON X800 PRO Secondary",NA,RADEON X800 PRO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,75,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+GTO&id=1777,"RADEON X800 GTO, Radeon X800 GTO (Omega 3.8.442), RADEON X800 GTO Secondary",NA,RADEON X800 GTO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 475 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,81,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+GT&id=618,"ATI RADEON X800 GT, RADEON X800 GT, Radeon X800 GT (Omega 3.8.442)",NA,RADEON X800 GT
"Bus Interface: PCI-E x16, Max Memory Size: 128 MB, Core Clock(s): 400 MHz, Memory Clock(s): 400,500 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,74,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X700+SE&id=1775,"RADEON X700 SE, RADEON X700 SE Secondary",NA,RADEON X700 SE
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 425 MHz, Memory Clock(s): 864 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,80,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X700+PRO&id=1774,"ASUS Extreme AX700 Pro, GIGABYTE RADEON X700 PRO, HIGHTECH EXCALIBUR X700 PRO, RADEON X700 PRO, RADEON X700 Series, RX700 PRO-128PCIE, Sapphire RADEON X700 PRO, Tul Corporation, RADEON X700 PRO",NA,RADEON X700 PRO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 700 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,71,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X700&id=1773,"ASUS X700 Series, ASUS X700 Series Secondary, CONNECT 3D RADEON X700, Diamond X700-PCIE 256MB, GIGABYTE RADEON X700, HIGHTECH RADEON X700, HIGHTECH RADEON X700 Secondary, Palit RADEON X700, RADEON X700, RADEON X700 Series, RADEON X700 Series Secondary, Sapphire RADEON X700, VisionTek XTASY RADEON X700",NA,RADEON X700
,,91,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X600XT&id=1772,"ASUS Extreme AX600XT-TD, ASUS Extreme AX600XT-TD 128M - Secondary, RADEON X600XT",NA,RADEON X600XT
"Bus Interface:  PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 250 MHz, Graphics API Support: DirectX 9.0 OpenGL 2.0",,55,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X600+256MB+HyperMemory&id=1769,"RADEON X600 256MB HyperMemory, RADEON X600 256MB HyperMemory Secondary",NA,RADEON X600 256MB HyperMemory
,,66,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X550XTX&id=1768,"Radeon X550XTX, Radeon X550XTX Secondary",NA,Radeon X550XTX
,,54,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X550XT&id=1767,"RADEON X550XT, RADEON X550XT Secondary",NA,RADEON X550XT
"Bus Interface: PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 500 MHz, Graphics API Support: DirectX 9 OpenGL 2",,46,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X550&id=1766,"RADEON X550, RADEON X550 Secondary",NA,RADEON X550
