core,name,clock,price,rank,link,other_name,g3d_mark,description
"Description:R6, 10 Compute Cores 4C+6GSocket:BGA (FP4)Clockspeed:1.6 GHzTurbo Speed:3.0 GHz4Typical TDP:15 W",AMD PRO A8-8600B,"Description:R6, 10 Compute Cores 4C+6GSocket:BGA (FP4)1.6 GHzTurbo Speed:3.0 GHzNo of Cores:4Typical TDP:15 W",,3812Single Thread Rating: 1285,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A8-8600B&id=2652,"AMD PRO A8-8600B R6, 10 Compute Cores 4C+6G",,"R6, 10 Compute Cores 4C+6GSocket:BGA (FP4)Clockspeed:1.6 GHzTurbo Speed:3.0 GHzNo of Cores:4Typical TDP:15 W"
"Description:R5, 6 COMPUTE CORES 2C+4GSocket:AM4Clockspeed:3.0 GHzTurbo Speed:3.4 GHz2Typical TDP:35 W",AMD PRO A6-9500E,"Description:R5, 6 COMPUTE CORES 2C+4GSocket:AM43.0 GHzTurbo Speed:3.4 GHzNo of Cores:2Typical TDP:35 W",,2752Single Thread Rating: 1600,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-9500E&id=2950,"AMD PRO A6-9500E R5, 6 COMPUTE CORES 2C+4G",,"R5, 6 COMPUTE CORES 2C+4GSocket:AM4Clockspeed:3.0 GHzTurbo Speed:3.4 GHzNo of Cores:2Typical TDP:35 W"
"Description:R5, 8 COMPUTE CORES 2C+6GSocket:AM4Clockspeed:3.5 GHzTurbo Speed:3.8 GHz2Typical TDP:65 W",AMD PRO A6-9500,"Description:R5, 8 COMPUTE CORES 2C+6GSocket:AM43.5 GHzTurbo Speed:3.8 GHzNo of Cores:2Typical TDP:65 W",,3262Single Thread Rating: 1807,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-9500&id=2942,"AMD PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",,"R5, 8 COMPUTE CORES 2C+6GSocket:AM4Clockspeed:3.5 GHzTurbo Speed:3.8 GHzNo of Cores:2Typical TDP:65 W"
"Description:R5, 6 COMPUTE CORES 2C+4GSocket:FP4Clockspeed:2.3 GHzTurbo Speed:3.2 GHz2Typical TDP:15 W",AMD PRO A6-9500B,"Description:R5, 6 COMPUTE CORES 2C+4GSocket:FP42.3 GHzTurbo Speed:3.2 GHzNo of Cores:2Typical TDP:15 W",,2303Single Thread Rating: 1384,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-9500B&id=2981,"AMD PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",,"R5, 6 COMPUTE CORES 2C+4GSocket:FP4Clockspeed:2.3 GHzTurbo Speed:3.2 GHzNo of Cores:2Typical TDP:15 W"
"Description:R5, 6 COMPUTE CORES 2C+4GClockspeed:3.0 GHzTurbo Speed:3.4 GHz2Typical TDP:35 W",AMD PRO A6-8570E,"Description:R5, 6 COMPUTE CORES 2C+4G3.0 GHzTurbo Speed:3.4 GHzNo of Cores:2Typical TDP:35 W",,2906Single Thread Rating: 1590,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-8570E&id=2926,"AMD PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",,"R5, 6 COMPUTE CORES 2C+4GClockspeed:3.0 GHzTurbo Speed:3.4 GHzNo of Cores:2Typical TDP:35 W"
"Description:R5, 8 COMPUTE CORES 2C+6GSocket:AM4Clockspeed:3.5 GHzTurbo Speed:3.8 GHz2Typical TDP:65 W",AMD PRO A6-8570,"Description:R5, 8 COMPUTE CORES 2C+6GSocket:AM43.5 GHzTurbo Speed:3.8 GHzNo of Cores:2Typical TDP:65 W",,3049Single Thread Rating: 1814,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-8570&id=2949,"AMD PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",,"R5, 8 COMPUTE CORES 2C+6GSocket:AM4Clockspeed:3.5 GHzTurbo Speed:3.8 GHzNo of Cores:2Typical TDP:65 W"
"Description:R5, 6 Compute Cores 2C+4GSocket:FM2+Clockspeed:3.7 GHzTurbo Speed:4.0 GHz2 (in 1 physical modules)Typical TDP:65 W",AMD PRO A6-8550B,"Description:R5, 6 Compute Cores 2C+4GSocket:FM2+3.7 GHzTurbo Speed:4.0 GHzNo of Cores:2 (in 1 physical modules)Typical TDP:65 W",,3018Single Thread Rating: 1715,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-8550B&id=2821,"AMD PRO A6-8550B R5, 6 Compute Cores 2C+4G",,"R5, 6 Compute Cores 2C+4GSocket:FM2+Clockspeed:3.7 GHzTurbo Speed:4.0 GHzNo of Cores:2 (in 1 physical modules)Typical TDP:65 W"
"Description:R5, 6 COMPUTE CORES 2C+4GSocket:FP4Clockspeed:2.3 GHzTurbo Speed:3.2 GHz2Typical TDP:15 W",AMD PRO A6-8530B,"Description:R5, 6 COMPUTE CORES 2C+4GSocket:FP42.3 GHzTurbo Speed:3.2 GHzNo of Cores:2Typical TDP:15 W",,2435Single Thread Rating: 1428,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-8530B&id=2947,"AMD PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G",,"R5, 6 COMPUTE CORES 2C+4GSocket:FP4Clockspeed:2.3 GHzTurbo Speed:3.2 GHzNo of Cores:2Typical TDP:15 W"
"Description:R5, 6 Compute Cores 2C+4GSocket:FP4Clockspeed:1.6 GHzTurbo Speed:3.0 GHz2Typical TDP:15 W",AMD PRO A6-8500B,"Description:R5, 6 Compute Cores 2C+4GSocket:FP41.6 GHzTurbo Speed:3.0 GHzNo of Cores:2Typical TDP:15 W",,2516Single Thread Rating: 1371,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-8500B&id=2695,"AMD PRO A6-8500B R5, 6 Compute Cores 2C+4G",,"R5, 6 Compute Cores 2C+4GSocket:FP4Clockspeed:1.6 GHzTurbo Speed:3.0 GHzNo of Cores:2Typical TDP:15 W"
"Description:R5, 5 COMPUTE CORES 2C+3GSocket:FMA4Clockspeed:3.0 GHzTurbo Speed:3.6 GHz2Typical TDP:15 W",AMD PRO A6-7350B,"Description:R5, 5 COMPUTE CORES 2C+3GSocket:FMA43.0 GHzTurbo Speed:3.6 GHzNo of Cores:2Typical TDP:15 W",,2759Single Thread Rating: 1645,https://www.cpubenchmark.net/cpu.php?cpu=AMD+PRO+A6-7350B&id=3210,"AMD PRO A6-7350B R5, 5 COMPUTE CORES 2C+3G",,"R5, 5 COMPUTE CORES 2C+3GSocket:FMA4Clockspeed:3.0 GHzTurbo Speed:3.6 GHzNo of Cores:2Typical TDP:15 W"
