memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>Lenovo IdeaPad 110 80UD00KCHV Notebook Árak - Lenovo IdeaPad 110 80UD00KCHV Laptop Akció</title>,2 GB,2 GHz,,"
          145 780 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-110-80ud00kchv-p356393041/,AMD Radeon R5 M430,4 GB,Dedikált,6006U,2133 MHz,"15.6"""
,<title>Dell Inspiron 5767 225151 Notebook Árak - Dell Inspiron 5767 225151 Laptop Akció</title>,4 GB,2.7 GHz,,"
          279 195 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5767-225151-p356392801/,AMD Radeon R7 M445,8 GB,Dedikált,7500U,2133 MHz,"17.3"""
,<title>ASUS X555BA-DM254T Notebook Árak - ASUS X555BA-DM254T Laptop Akció</title>,,2.9 GHz,,"
          138 120 Ft
        ",Windows 10 Home,AMD A-sorozat,,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/x555ba-dm254t-p392799231/,Radeon R5,8 GB,Dedikált,A9-410,,"15.6"""
16 GB,<title>ASUS X756UQ-T4043D Notebook Árak - ASUS X756UQ-T4043D Laptop Akció</title>,2 GB,2.3 GHz,2,"
          188 095 Ft
        ",Operációs rendszer nélkül,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/x756uq-t4043d-p343064146/,Nvidia GeForce 940MX,4 GB,Dedikált,6100U,2133 MHz,"17.3"""
4 GB,<title>Lenovo IdeaPad 110 80UD003QHV Notebook Árak - Lenovo IdeaPad 110 80UD003QHV Laptop Akció</title>,2 GB,2.5 GHz,Nincs,"
          184 999 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-110-80ud003qhv-p348211488/,AMD Radeon R5 M430,4 GB,Dedikált,6498DU,2133 MHz,"15.6"""
,<title>HP Pavilion 15-aw009nh Y0A76EA Notebook Árak - HP Pavilion 15-aw009nh Y0A76EA Laptop Akció</title>,4 GB,2.4 GHz,2,"
          192 000 Ft-tól
      ",Operációs rendszer nélkül,AMD A-sorozat,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/pavilion-15-aw009nh-y0a76ea-p350187809/,AMD Radeon R7 M440,8 GB,Dedikált,A10-9600P,2133 MHz,"15.6"""
,<title>ASUS VivoBook Max X541UV-GQ1361T Notebook Árak - ASUS VivoBook Max X541UV-GQ1361T Laptop Akció</title>,,2.00 GHz,1,"
          162 990 Ft
        ",Windows 10 Home,Intel Core i3,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/vivobook-max-x541uv-gq1361t-p390605259/,GeForce 920MX,4 GB,Dedikált,6006U,2133 MHz,"15,6"""
16 GB,<title>Acer Aspire E5-573G-35U3 LIN NX.MVMEU.036 Notebook Árak - Acer Aspire E5-573G-35U3 LIN NX.MVMEU.036 Laptop Akció</title>,2 GB,2 GHz,2,"
          124 433 Ft
        ",Linux,Intel Core i3,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-573g-35u3-lin-nx-mvmeu-036-p333513061/,Nvidia GeForce 920M,4 GB,Dedikált,5005U,1600 MHz,"15.6"""
,<title>ASUS X756UX-T4311T Notebook Árak - ASUS X756UX-T4311T Laptop Akció</title>,4 GB,2.50 GHz,2,"
          264 690 Ft-tól
      ",FreeDOS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/x756ux-t4311t-p383379445/,GeForce GTX950M,8 GB,Dedikált,7200U,2133 MHz,"17.3"""
,<title>Lenovo V320 81AH002WHV Notebook Árak - Lenovo V320 81AH002WHV Laptop Akció</title>,,2.5 GHz,1,"
          226 000 Ft
        ",FreeDOS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/v320-81ah002whv-p388293677/,GeForce 920MX,8 GB,Dedikált,7200U,2133 MHz,"17.3"""
